,0,1,2,3,4,5,6,7
0,11367,26178,73394,70113,486571,510206,429572,197453
0,45948,20655,59012,27997,530886,521151,446721,214797
0,17584,16632,74116,92119,423073,563795,456752,241968
0,6654,26508,60688,298165,548386,521680,373541,193219
0,831,939,1517,927,244305,173631,102322,73983
0,17640,16629,91126,80625,539675,483581,464823,227313
0,16712,26382,76383,84615,495014,534193,448261,205408
0,48660,26405,62466,29919,522372,555101,465055,233213
0,27470,17694,93812,91499,457529,505016,433933,192561
0,7076,23297,63866,262956,536079,498785,361882,155666
0,798,895,1348,915,266607,203989,118596,81105
0,20785,22272,80004,81997,545307,516047,423145,196645
0,905,809,907,781,78872,65554,80087,67928
0,806,862,830,886,115052,84781,79432,88283
0,778,957,837,870,79202,68441,70127,69408
0,738,829,798,790,74796,67785,66214,66601
0,816,843,791,876,81773,64097,76345,66104
0,748,870,795,802,77546,64836,94359,73612
0,763,829,842,910,76504,65154,65023,64944
0,775,838,799,844,73769,65974,65229,72206
0,746,879,808,849,75868,65545,63806,63732
0,747,782,800,890,72421,70274,64326,63620
0,785,866,843,851,100185,63305,80465,80032
0,790,1000,879,977,97019,62227,61503,73866
0,930,1030,989,820,79637,68848,84544,101013
0,773,789,747,942,114108,68777,85197,66304
0,697,738,794,868,82737,66343,84795,65953
0,757,815,846,817,114979,68376,65582,66153
0,729,887,798,872,82908,65378,86371,65269
0,855,795,858,824,107243,65260,86597,64881
0,744,782,960,901,77803,64385,69781,65285
0,756,913,825,885,111521,63778,68799,64364
0,945,835,860,879,78417,63906,63280,63539
0,787,879,1067,999,80987,62751,62475,62238
0,753,839,878,859,85514,63074,83935,82196
0,821,877,872,959,83028,63743,76617,78056
0,892,1004,1014,860,79019,68584,71176,66913
0,665,843,941,989,86472,66670,66269,66773
0,778,970,888,1148,86292,69143,67117,67278
0,725,841,903,839,112227,79944,90683,65615
0,843,924,892,849,88030,67582,83750,86257
0,860,774,994,810,114794,83543,86548,84475
0,773,784,898,874,89596,64197,62685,86985
0,900,829,925,1061,81620,63745,84102,64182
0,807,834,888,1041,113976,78776,62130,62761
0,788,877,911,979,81415,63623,61484,62478
0,923,819,834,893,83592,96648,79672,61374
0,852,869,927,1114,82723,78889,59221,78435
0,96047,261061,534046,120841,70060,67660,67562,66620
0,184082,383556,330684,36188,63345,67282,67362,65561
0,458525,331974,94950,14078,83135,66115,68844,66054
0,341592,86191,22120,4361,88823,71765,67215,65665
0,104977,34262,9963,2157,109972,66031,65226,64614
0,30529,11324,4025,1900,85207,74555,68756,63693
0,105225,295886,536493,90027,88820,64834,64417,64386
0,196222,472307,359499,39626,83391,64249,63692,64245
0,476656,442097,96132,13283,82021,62739,61952,62711
0,381245,149904,26123,4709,82896,62150,61487,62106
0,105417,40921,8035,2037,82305,62890,79152,79835
0,31939,12251,4019,1539,58902,60911,61068,60890
